"org","site","pct_this","pct_that","pct_other","num_things","narrative","program","programType"
"Mars","Hong Kong",0.56,0.64,0.65,329,"""Don't take it so much amiss, sir,"" pleaded the keeper to the angry passenger; ""I'll sit next you myself. I'll put 'em on the outside of the row. They won't interfere with you, sir. You needn't know they're there.""","Dominion","Games"
"Pluto","Guinea-Bissau",0.9,0.92,0.6,210,"""Why, you're a regular cross-examiner!"" said Mr. Wemmick, looking at me with an approving air. ""Yes, I know him. I know him!""","Liszt","Composers"
"Pluto","Ghana",0.76,0.77,0.77,308,"By and by, his door opened and he came out. I could not bring myself to bear the sight of him, and I thought he had a worse look by daylight.","Trivial Pursuit","Games"
"Earth","Mayotte",0.85,0.12,0.17,221,"""My dear Joe,"" I cried, in desperation, taking hold of his coat, ""don't go on in that way. I never thought of making Miss Havisham any present.""","Stravinsky","Composers"
"Saturn","Costa Rica",0,0.67,0.08,309,"""Ah, young master, there's more changes than yours. But come in, come in. It's opposed to my orders to hold the gate open.""","Settlers of Catan","Games"
"Mars","Honduras",0.29,0.39,0.04,234,"""It's not much to be particular about,"" said the sergeant; ""it'll do you small good, my man, being in the same plight yourself. Handcuffs there!""","Brahms","Composers"
"Mars","Tokelau",0.59,0.17,0.64,178,"""A fellow like our friend the Spider,"" answered Mr. Jaggers, ""either beats or cringes. He may cringe and growl, or cringe and not growl; but he either beats or cringes. Ask Wemmick his opinion.""","Ticket to Ride","Games"
"Mars","Guatemala",0.84,0.91,0.28,215,"Biddy asked me here, as she sat holding my sister's plate, ""Have you thought about when you'll show yourself to Mr. Gargery, and your sister and me? You will show yourself to us; won't you?""","Dvorak","Composers"
"Saturn","Cook Islands",0.14,0.18,0.4,251,"We made all the haste we could down stairs, but we were not quick enough either. Standing at the door was a Jewish man with an unnatural heavy smear of eyebrow, who caught my eyes as we advanced, and said, when we came up with him,—","JS Bach","Composers"
"Pluto","Chad",0.49,0.82,0.52,336,"His enjoyment of the spectacle I furnished, as he sat with his arms folded on the table, shaking his head at me and hugging himself, had a malignity in it that made me tremble. As I watched him in silence, he put his hand into the corner at his side, and took up a gun with a brass-bound stock.","Haydn","Composers"
"Pluto","Somalia",0.1,0.65,0.36,296,"""I wouldn't go into that,"" said Wemmick, evasively, ""it might clash with official responsibilities. I heard it, as I have in my time heard other curious things in the same place. I don't tell it you on information received. I heard it.""","Stravinsky","Composers"
"Venus","Bahamas",0.62,0.08,0.97,183,"As he extended his hand with a magnificently forgiving air, and as I was broken by illness and unfit to quarrel, I took it.","Mozart","Composers"
"Neptune","Luxembourg",0.56,0.76,0.55,237,"""I little thought,"" said Estella, ""that I should take leave of you in taking leave of this spot. I am very glad to do so.""","Dominion","Games"
"Neptune","Latvia",0.32,0.39,0.05,298,"I divined that my coming had stopped conversation in the room, and that its other occupants were looking at me. I could see nothing of the room except the shining of the fire in the window-glass, but I stiffened in all my joints with the consciousness that I was under close inspection.","Wagner","Composers"
"Venus","Mali",0.62,0.67,0.84,243,"""Perhaps if I warn't a blacksmith's wife, and (what's the same thing) a slave with her apron never off, I should have been to hear the Carols,"" said Mrs. Joe. ""I'm rather partial to Carols, myself, and that's the best of reasons for my never hearing any.""","Stravinsky","Composers"
"Earth","Georgia",0.84,0.37,0.33,341,"""Missis,"" returned the gallant sergeant, ""speaking for myself, I should reply, the honor and pleasure of his fine wife's acquaintance; speaking for the king, I answer, a little job done.""","CLUE","Games"
"Saturn","Netherlands",0.62,0.31,0.1,223,"""You know he is Miss Havisham's man of business and solicitor, and has her confidence when nobody else has?""","Risk","Games"
"Earth","Sweden",0.55,0.43,0.24,227,"Being at last touched on the shoulder, I started and turned. I started much more naturally then, to find myself confronted by a man in a sober gray dress. The last man I should have expected to see in that place of porter at Miss Havisham's door.","Puerto Rico","Games"
"Pluto","France",0.52,0.08,0.89,278,"After which, Joe withdrew to the window, and stood with his back towards me, wiping his eyes. And as my extreme weakness prevented me from getting up and going to him, I lay there, penitently whispering, ""O God bless him! O God bless this gentle Christian man!""","Stravinsky","Composers"
"Earth","Kenya",0.41,0.19,0.01,272,"""I should have said this sooner, but for my long mistake. It induced me to hope that Miss Havisham meant us for one another. While I thought you could not help yourself, as it were, I refrained from saying it. But I must say it now.""","Trivial Pursuit","Games"
"Venus","Malta",0.14,0.78,0.78,278,"I had filled up the bottle from the tar-water jug. I knew he would be worse by and by. I moved the table, like a Medium of the present day, by the vigor of my unseen hold upon it.","Risk","Games"
"Earth","Cameroon",0.51,0.83,0.43,204,"I frowningly sat down to my breakfast. Mr. Pumblechook stood over me and poured out my tea—before I could touch the teapot—with the air of a benefactor who was resolved to be true to the last.","Schubert","Composers"
"Mars","Yemen",0.4,0.68,0.79,135,"""You know, old chap,"" said Joe, looking at me, and not at Mrs. Joe, with his bite still in his cheek, ""I Bolted, myself, when I was your age—frequent—and as a boy I've been among a many Bolters; but I never see your Bolting equal yet, Pip, and it's a mercy you ain't Bolted dead.""","Wagner","Composers"
"Uranus","Gabon",0.76,0.3,0.95,212,"It was not so much a reproach as an irresistible thinking aloud. Well! I thought I would give up that point too. So, I walked a little further with Biddy, looking silently at her downcast eyes.","Ticket to Ride","Games"
"Saturn","Vietnam",0.74,1,0.61,283,"""I wish to be quite right, Mr. Jaggers, and to keep to your directions; so I thought I had better ask. Would there be any objection to my taking leave of any one I know, about here, before I go away?""","Mendelssohn","Composers"
"Jupiter","Mauritania",0.72,0.47,0.25,256,"""I'm a going,"" said he, bringing his fist down upon the table with a heavy blow, and rising as the blow fell to give it greater force,—""I'm a going to have your life!""","Dvorak","Composers"
"Mars","Nigeria",0.5,0.98,0.08,283,"""Biddy,"" said I, when I talked with her after dinner, as her little girl lay sleeping in her lap, ""you must give Pip to me one of these days; or lend him, at all events.""","Debussy","Composers"
"Saturn","Nepal",0.98,0.62,0.61,266,"""Do this look like a forge?"" replied Orlick, sending his glance all round him with an air of injury. ""Now, do it look like it?""","Yahtzee","Games"
"Saturn","Maldives",0.05,0.19,0.59,302,"""And now you!"" said Mr. Jaggers, suddenly stopping, and turning on the two women with the shawls, from whom the three men had meekly separated,—""Oh! Amelia, is it?""","Mendelssohn","Composers"
"Neptune","India",0.13,0.06,0.63,310,"""No, my young friend,"" he interrupted, shaking his head and frowning and smiling both at once,—""no, no, no; it's very well done, but it won't do; you are too young to fix me with it. Recommendation is not the word, Mr. Pip. Try another.""","Mendelssohn","Composers"
"Pluto","Macau",0.07,0.41,0.68,210,"""You see my state,"" said I. ""I would come with you if I could; but indeed I am quite unable. If you take me from here, I think I shall die by the way.""","Stratego","Games"
"Neptune","Libya",0.39,0.79,0.37,223,"""Could I make a guess, I wonder,"" said the Convict, ""at your income since you come of age! As to the first figure now. Five?""","Wagner","Composers"
"Saturn","Solomon Islands",0.55,0.64,0.88,266,"Thus, we walked through Wemmick's greenhouse, until he turned to me and said, ""Notice the man I shall shake hands with."" I should have done so, without the preparation, as he had shaken hands with no one yet.","Battleship","Games"
"Uranus","Sierra Leone",0.11,0.69,0.28,293,"""We made the money up this morning, sir,"" said one of the men, submissively, while the other perused Mr. Jaggers's face.","Chess","Games"
"Neptune","Tajikistan",0.49,0.12,0.51,309,"With this project formed, we went to bed. I had the wildest dreams concerning him, and woke unrefreshed; I woke, too, to recover the fear which I had lost in the night, of his being found out as a returned transport. Waking, I never lost that fear.","Wagner","Composers"
"Earth","Estonia",0.08,0.09,0.14,281,"As I stood opposite to Mr. Pocket, Junior, delivering him the bags, One, Two, I saw the starting appearance come into his own eyes that I knew to be in mine, and he said, falling back,—","Chess","Games"
"Venus","Tanzania; officially the United Republic of Tanzania",0.13,0.28,0.28,226,"""Did I never give her love!"" cried Miss Havisham, turning wildly to me. ""Did I never give her a burning love, inseparable from jealousy at all times, and from sharp pain, while she speaks thus to me! Let her call me mad, let her call me mad!""","Debussy","Composers"
"Earth","Slovenia",0.54,0.98,0.61,323,"""There, there, there!"" with the impatient movement of her fingers. ""I don't want to know. Are you ready to play?""","Risk","Games"
"Jupiter","Montenegro",0.34,0.08,0.69,308,"""Out of a cupboard,"" said I. ""And I saw pistols in it,—and jam,—and pills. And there was no daylight in the room, but it was all lighted up with candles.""","Chopin","Composers"
